2025-04-02 13:28:52 status half-configured libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-04-02 13:28:52 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-04-02 13:28:53 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-04-02 13:28:59 startup archives unpack
2025-04-02 13:28:59 upgrade linux-libc-dev:amd64 6.8.0-56.58 6.8.0-57.59
2025-04-02 13:28:59 status half-configured linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:28:59 status unpacked linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:28:59 status half-installed linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:29:00 status unpacked linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:00 upgrade linux-tools-common:all 6.8.0-56.58 6.8.0-57.59
2025-04-02 13:29:00 status half-configured linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:00 status unpacked linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:00 status half-installed linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:01 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-02 13:29:01 status unpacked linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 startup packages configure
2025-04-02 13:29:01 configure linux-libc-dev:amd64 6.8.0-57.59 <none>
2025-04-02 13:29:01 status unpacked linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 status half-configured linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 status installed linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 configure linux-tools-common:all 6.8.0-57.59 <none>
2025-04-02 13:29:01 status unpacked linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 status half-configured linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 status installed linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-04-02 13:29:01 status half-configured man-db:amd64 2.12.0-4build2
2025-04-02 13:29:06 status installed man-db:amd64 2.12.0-4build2
2025-04-02 19:42:13 startup archives unpack
2025-04-02 19:42:15 install htop:amd64 <none> 3.3.0-4build1
2025-04-02 19:42:15 status half-installed htop:amd64 3.3.0-4build1
2025-04-02 19:42:15 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:15 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:16 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:16 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-02 19:42:16 status unpacked htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 startup packages configure
2025-04-02 19:42:16 configure htop:amd64 3.3.0-4build1 <none>
2025-04-02 19:42:16 status unpacked htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 status half-configured htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 status installed htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2025-04-02 19:42:16 status half-configured desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:17 status installed desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:17 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-04-02 19:42:17 status half-configured hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:18 status installed hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:18 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2025-04-02 19:42:18 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:18 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:18 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-04-02 19:42:18 status half-configured man-db:amd64 2.12.0-4build2
2025-04-02 19:42:21 status installed man-db:amd64 2.12.0-4build2
2025-04-03 13:36:45 startup archives unpack
2025-04-03 13:36:47 upgrade vim:amd64 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:47 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:47 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:47 status half-installed vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:48 upgrade vim-common:all 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:48 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status half-installed vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-03 13:36:48 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-04-03 13:36:48 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-04-03 13:36:48 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-03 13:36:49 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 upgrade vim-tiny:amd64 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status half-installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 upgrade vim-runtime:all 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status half-installed vim-runtime:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:51 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 upgrade xxd:amd64 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status half-configured xxd:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:51 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:51 status half-installed xxd:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:51 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 startup packages configure
2025-04-03 13:36:51 configure xxd:amd64 2:9.1.0016-1ubuntu7.7 <none>
2025-04-03 13:36:51 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status half-configured xxd:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status installed xxd:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 configure vim-common:all 2:9.1.0016-1ubuntu7.7 <none>
2025-04-03 13:36:51 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status installed vim-common:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 configure vim-runtime:all 2:9.1.0016-1ubuntu7.7 <none>
2025-04-03 13:36:51 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status installed vim-runtime:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 configure vim:amd64 2:9.1.0016-1ubuntu7.7 <none>
2025-04-03 13:36:51 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:51 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:52 status installed vim:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:52 configure vim-tiny:amd64 2:9.1.0016-1ubuntu7.7 <none>
2025-04-03 13:36:52 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:52 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:52 status installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:52 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2025-04-03 13:36:52 status half-configured desktop-file-utils:amd64 0.27-2build1
2025-04-03 13:36:52 status installed desktop-file-utils:amd64 0.27-2build1
2025-04-03 13:36:52 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-04-03 13:36:52 status half-configured hicolor-icon-theme:all 0.17-2
2025-04-03 13:36:52 status installed hicolor-icon-theme:all 0.17-2
2025-04-03 13:36:52 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2025-04-03 13:36:52 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-03 13:36:52 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-03 13:36:52 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-04-03 13:36:52 status half-configured man-db:amd64 2.12.0-4build2
2025-04-03 13:36:56 status installed man-db:amd64 2.12.0-4build2
2025-04-03 20:58:40 startup archives unpack
2025-04-03 20:58:42 upgrade libnss-systemd:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:42 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-04-03 20:58:42 status half-configured libnss-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:42 status unpacked libnss-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:42 status half-installed libnss-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:43 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-03 20:58:43 status unpacked libnss-systemd:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:43 upgrade systemd-dev:all 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:43 status half-configured systemd-dev:all 255.4-1ubuntu8.5
2025-04-03 20:58:43 status unpacked systemd-dev:all 255.4-1ubuntu8.5
2025-04-03 20:58:43 status half-installed systemd-dev:all 255.4-1ubuntu8.5
2025-04-03 20:58:43 status unpacked systemd-dev:all 255.4-1ubuntu8.6
2025-04-03 20:58:43 upgrade systemd-timesyncd:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:43 status half-configured systemd-timesyncd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:43 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:43 status half-installed systemd-timesyncd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:43 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2025-04-03 20:58:44 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:44 upgrade systemd-resolved:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:44 status half-configured systemd-resolved:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:44 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:44 status half-installed systemd-resolved:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:45 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:45 upgrade systemd-oomd:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:45 status half-configured systemd-oomd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:45 status unpacked systemd-oomd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:45 status half-installed systemd-oomd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status unpacked systemd-oomd:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:46 upgrade libsystemd-shared:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:46 status half-configured libsystemd-shared:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status half-installed libsystemd-shared:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:46 upgrade libsystemd0:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:46 status half-configured libsystemd0:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status unpacked libsystemd0:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:46 status half-installed libsystemd0:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:47 status unpacked libsystemd0:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:47 startup packages configure
2025-04-03 20:58:47 configure libsystemd0:amd64 255.4-1ubuntu8.6 <none>
2025-04-03 20:58:47 status unpacked libsystemd0:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:47 status half-configured libsystemd0:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:47 status installed libsystemd0:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:47 startup archives unpack
2025-04-03 20:58:48 upgrade systemd-sysv:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:48 status half-configured systemd-sysv:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status unpacked systemd-sysv:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status half-installed systemd-sysv:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status unpacked systemd-sysv:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:48 upgrade libpam-systemd:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:48 status half-configured libpam-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status unpacked libpam-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status half-installed libpam-systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:48 status unpacked libpam-systemd:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:48 upgrade xserver-common:all 2:21.1.12-1ubuntu1.2 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:48 status half-configured xserver-common:all 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status unpacked xserver-common:all 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status half-installed xserver-common:all 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status unpacked xserver-common:all 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:48 upgrade xserver-xorg-legacy:amd64 2:21.1.12-1ubuntu1.2 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:48 status half-configured xserver-xorg-legacy:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status unpacked xserver-xorg-legacy:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status half-installed xserver-xorg-legacy:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:48 status unpacked xserver-xorg-legacy:amd64 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:49 upgrade xserver-xorg-core:amd64 2:21.1.12-1ubuntu1.2 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:49 status half-configured xserver-xorg-core:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:49 status unpacked xserver-xorg-core:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:49 status half-installed xserver-xorg-core:amd64 2:21.1.12-1ubuntu1.2
2025-04-03 20:58:49 status unpacked xserver-xorg-core:amd64 2:21.1.12-1ubuntu1.3
2025-04-03 20:58:49 upgrade systemd:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:49 status half-configured systemd:amd64 255.4-1ubuntu8.5
